Componentes conexas: 14384
Maior componente: 33533
Menor componente: 1
=> 7 vértices
=> 33533 vértices
=> 1 vértice
=> 2 vértices
=> 44 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 11 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 2 vértices
=> 13 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 3 vértices
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 7 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 9 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 27 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 3 vértices
=> 2 vértices
=> 12 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 10 vértices
=> 2 vértices
=> 5 vértices
=> 16 vértices
=> 14 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 15 vértices
=> 3 vértices
=> 3 vértices
=> 3 vértices
=> 38 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 20 vértices
=> 2 vértices
=> 3 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 6 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 5 vértices
=> 5 vértices
=> 2 vértices
=> 2 vértices
=> 10 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 4 vértices
=> 3 vértices
=> 27 vértices
=> 3 vértices
=> 3 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 6 vértices
=> 3 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 9 vértices
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 5 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 16 vértices
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 5 vértices
=> 1 vértice
=> 5 vértices
=> 1 vértice
=> 2 vértices
=> 9 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 22 vértices
=> 1 vértice
=> 1 vértice
=> 7 vértices
=> 6 vértices
=> 1 vértice
=> 23 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 4 vértices
=> 1 vértice
=> 2 vértices
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 67 vértices
=> 1 vértice
=> 5 vértices
=> 3 vértices
=> 1 vértice
=> 5 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 21 vértices
=> 8 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 10 vértices
=> 3 vértices
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 5 vértices
=> 1 vértice
=> 18 vértices
=> 1 vértice
=> 1 vértice
=> 13 vértices
=> 1 vértice
=> 3 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 6 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 6 vértices
=> 1 vértice
=> 3 vértices
=> 7 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 3 vértices
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 6 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 4 vértices
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 2 vértices
=> 4 vértices
=> 2 vértices
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 7 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 5 vértices
=> 1 vértice
=> 19 vértices
=> 6 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 2 vértices
=> 3 vértices
=> 4 vértices
=> 6 vértices
=> 2 vértices
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 4 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 2 vértices
=> 7 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 6 vértices
=> 4 vértices
=> 1 vértice
=> 4 vértices
=> 4 vértices
=> 2 vértices
=> 3 vértices
=> 36 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 7 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 3 vértices
=> 8 vértices
=> 3 vértices
=> 3 vértices
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 2 vértices
=> 3 vértices
=> 10 vértices
=> 9 vértices
=> 1 vértice
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 8 vértices
=> 3 vértices
=> 2 vértices
=> 2 vértices
=> 3 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 1 vértice
=> 4 vértices
=> 1 vértice
=> 1 vértice
=> 1 vértice
